forename,males,females,total
ahlem,0,3,4
ahmaad,2,0,2
ahmad,89,1,143
ahmadou,3,0,3
ahmadu,2,0,2
ahmar,2,0,4
ahmed,198,0,352
ahmer,2,0,2
ahmet,47,0,65
ahn,0,2,3
ahna,0,2,4
ahram,0,3,3
ahreum,0,2,3
ahron,5,0,6
ahsan,17,0,32
ahsen,1,1,2
ahuva,0,12,22
ahyoung,0,4,7
ai,2,22,42
aich,1,1,2
aicha,0,7,11
aida,0,131,213
aidan,44,3,94
aide,0,4,4
aidee,0,2,3
aiden,18,2,31
aiesha,0,13,21
aifuwa,2,0,2
aiko,1,8,19
ailed,0,2,2
aileen,0,91,191
ailene,0,2,5
aili,0,2,6
ailie,0,2,3
ailsa,0,4,7
ailyn,0,5,6
aim,3,1,5
aima,0,2,3
aiman,3,0,4
aime,0,2,3
aimee,1,118,322
ain,1,1,6
aina,0,5,8
aine,0,4,7
ainsley,8,5,22
ainsworth,6,0,7
ainura,0,2,2
air,2,0,8
airam,2,2,4
aireen,0,2,3
aish,2,1,6
aisha,0,164,301
aishah,0,7,11
aishia,0,2,3
aisling,0,8,24
aislinn,0,6,15
aislyn,0,2,2
aissa,2,2,4
aissata,0,2,3
aissatou,0,2,6
aitana,0,2,3
aitor,3,0,5
aixa,0,12,22
aiyana,0,2,6
aiysha,0,6,6
aiza,0,3,6
aizhan,0,3,4
aj,127,10,268
aja,0,36,76
ajai,2,0,3
ajala,1,1,2
ajamu,6,0,10
ajani,7,0,17
ajantha,1,1,2
ajax,4,0,4
ajay,59,0,103
ajdin,3,0,4
ajene,3,1,5
aji,1,1,2
ajiri,0,2,2
ajit,11,0,24
ajith,9,0,9
ajiwokewu,1,1,2
ajmal,3,0,6
ajoy,3,0,4
aju,2,0,2
ak,8,1,13
akai,1,1,3
akane,0,9,15
akanksha,0,4,5
akari,0,3,7
akash,26,0,46
akasha,0,2,4
akbar,11,0,19
akeda,0,2,2
akeelah,0,2,2
akeem,64,1,100
akeen,3,0,3
akeila,0,2,2
akeim,2,0,2
akeisha,0,2,7
akela,0,3,6
akelia,0,2,2
akemi,0,7,14
akeno,1,1,2
akeya,0,2,3
akhi,1,1,3
akhil,9,0,22
akhtar,2,0,3
aki,5,18,50
akia,0,6,9
akib,2,0,2
akiba,1,1,4
akida,1,1,3
akif,2,0,6
akihiro,8,0,9
akiko,0,35,70
akil,33,1,48
akila,0,5,6
akilah,0,21,39
akili,3,0,4
akim,10,0,16
akin,21,0,33
akina,0,3,5
akindele,2,0,2
akinobu,3,0,3
akinola,3,0,3
akinyele,2,0,4
akio,1,1,6
akira,18,8,39
akis,6,0,8
akisha,0,4,4
akita,1,2,5
akito,2,0,2
akiva,16,1,30
akko,0,2,2
akm,5,0,5
akon,2,0,2
akosua,0,7,18
akram,6,0,16
aksana,0,2,4
akshat,4,0,9
akshay,21,0,40
aksoy,2,0,2
aktar,1,1,3
akua,0,15,29
akuma,2,0,2
akwasi,9,0,13
al,356,9,578
al-,2,0,2
ala,1,1,6
alaa,5,3,16
alaba,1,1,2
aladdin,2,0,3
aladino,2,0,2
alafia,0,2,2
alain,68,2,113
alaina,0,27,62
alaine,0,5,8
alamgir,4,0,6
alamin,2,0,4
alan,759,0,1331
alana,0,132,323
aland,2,0,3
alanda,0,2,2
alane,1,8,10
alani,1,1,4
alanna,0,55,120
alannah,0,5,6
alanzo,4,0,5
alara,0,2,5
alaric,7,0,9
alasdair,2,0,3
alasha,0,2,2
alasia,0,2,3
alaskan,0,2,2
alassane,4,0,4
alastair,5,0,15
alathea,0,3,3
alayna,0,4,10
alayne,0,2,6
alb,1,1,2
alba,0,54,105
alban,9,0,21
albana,0,8,14
albane,0,3,4
albania,1,6,15
albano,2,0,3
albee,2,6,10
albeiro,3,0,4
alben,2,0,3
albena,0,2,3
albert,429,2,765
alberta,0,14,27
alberte,0,2,2
albertha,0,3,5
albertina,0,4,6
alberto,285,1,417
albi,6,0,7
albie,2,0,5
albin,5,1,8
albina,0,14,21
albino,4,0,5
albion,6,0,7
albita,0,2,2
albo,1,1,3
albus,2,0,4
alby,2,0,6
alci,2,0,3
alcian,1,1,2
alcibiades,2,0,2
alcides,7,0,11
alda,0,4,7
aldana,1,2,4
alden,18,0,31
alder,1,1,3
aldi,4,0,5
aldin,3,0,6
aldith,0,2,2
aldo,62,0,90
aldon,3,0,4
aldona,0,3,7
aldous,2,0,3
aldric,2,0,2
aldrin,7,0,15
aldwin,3,0,5
ale,11,11,40
alea,0,6,12
aleah,0,4,7
aleane,0,2,2
alease,0,2,2
alec,88,1,173
alecia,0,30,63
aleem,5,0,10
aleen,0,5,7
aleena,0,3,9
aleesha,0,2,9
alegria,0,2,3
aleicia,0,3,3
aleida,0,6,11
aleika,0,2,2
aleisha,0,3,7
aleister,2,0,2
alejandra,0,104,194
alejandrina,0,4,5
alejandro,208,0,371
alejita,0,2,2
alejo,3,0,8
alek,7,0,21
aleka,0,3,6
aleks,17,3,37
aleksandar,21,0,43
aleksander,15,0,19
aleksandr,35,0,58
aleksandra,0,52,125
aleksei,3,0,4
aleksey,24,0,46
aleli,0,2,4
alen,27,0,43
alena,0,38,76
