paper,author
w0227,w0040.01
w0227,w0041.01
w0228,w0204.01
w0229,w0006.01
w0230,w0051.01
w0230,w0147.01
w0231,w0179.01
w0232,w0201.01
w0232,w0274.02
w0233,w0143.01
w0234,w0201.01
w0234,w0234.01
w0235,w0179.01
w0236,w0020.01
w0237,w0160.01
w0238,w0136.01
w0239,w0179.01
w0240,w0022.01
w0240,w0240.01
w0241,w0201.01
w0241,w0234.01
w0242,w0225.01
w0243,w0243.02
w0243,w0298.01
w0244,w0006.01
w0244,w0244.01
w0245,w0245.01
w0246,w0246.01
w0247,w0209.01
w0247,w0247.01
w0248,w0225.01
w0249,w0021.01
w0249,w0162.01
w0250,w0201.01
w0250,w0234.01
w0250,w0250.03
w0251,w0226.01
w0252,w0226.01
w0253,w0201.01
w0253,w0253.01
w0254,w0253.01
w0255,w0253.01
w0256,w0022.01
w0256,w0180.01
w0257,w0234.01
w0258,w0033.01
w0259,w0201.01
w0259,w0253.01
w0260,w0212.01
w0261,w0179.01
w0262,w0020.01
w0262,w0147.01
w0262,w0320.02
w0263,w0040.01
w0263,w0041.01
w0264,w0160.01
w0265,w0265.01
w0265,w0265.02
w0266,w0266.01
w0266,w0266.02
w0267,w0267.01
w0267,w0267.02
w0268,w0268.01
w0269,w0269.01
w0270,w0270.01
w0271,w0270.01
w0272,w0212.01
w0273,w0224.01
w0273,w0225.01
w0274,w0274.01
w0274,w0274.02
w0275,w0201.01
w0276,w0201.01
w0277,w0274.01
w0277,w0274.02
w0278,w0224.01
w0278,w0363.02
w0279,w0067.01
w0279,w0279.02
w0280,w0225.01
w0281,w0281.01
w0282,w0225.01
w0283,w0067.01
w0284,w0179.01
w0285,w0059.01
w0285,w0143.01
w0286,w0286.01
w0287,w0287.01
w0288,w0287.01
w0288,w0288.01
w0289,w0287.01
w0290,w0287.01
w0290,w0290.02
w0291,w0291.01
w0292,w0225.01
w0293,w0008.02
w0293,w0176.01
w0293,w0293.03
w0294,w0179.01
w0295,w0179.01
w0296,w0201.01
w0297,w0297.01
w0297,w0297.02
w0298,w0298.01
w0299,w0034.01
w0299,w0143.01
w0300,w0300.01
w0300,w0300.02
w0301,w0225.01
w0302,w0274.02
w0303,w0303.01
w0303,w0303.02
w0304,w0304.01
w0305,w0224.01
w0305,w0225.01
w0306,w0226.01
w0306,w0306.01
w0307,w0307.01
w0308,w0022.01
w0308,w0180.01
w0309,w0225.01
w0309,w0274.01
w0310,w0201.01
w0310,w0310.01
w0311,w0311.01
w0312,w0201.01
w0312,w0274.02
w0313,w0281.01
w0314,w0201.01
w0315,w0225.01
w0316,w0225.01
w0317,w0298.01
w0318,w0006.01
w0319,w0319.01
w0319,w0319.02
w0320,w0020.01
w0320,w0147.01
w0320,w0320.02
w0321,w0321.01
w0322,w0281.01
w0322,w0322.01
w0323,w0321.01
w0324,w0253.01
w0324,w0324.02
w0325,w0325.01
w0326,w0326.01
w0327,w0303.02
w0327,w0311.01
w0328,w0321.01
w0329,w0326.01
w0329,w0329.02
w0330,w0274.01
w0331,w0303.02
w0332,w0274.01
w0333,w0333.01
w0334,w0201.01
w0335,w0335.01
w0336,w0336.01
w0337,w0216.01
w0337,w0337.01
w0337,w0337.02
w0337,w0337.04
w0338,w0286.01
w0339,w0326.01
w0339,w0339.01
w0340,w0304.01
w0340,w0340.02
w0341,w0303.02
w0342,w0342.01
w0342,w0342.02
w0343,w0343.01
w0343,w0343.02
w0343,w0343.03
w0344,w0344.01
w0345,w0179.01
w0345,w0179.02
w0346,w0344.01
w0346,w0346.02
w0347,w0321.01
w0348,w0089.01
w0349,w0269.01
w0350,w0344.01
w0350,w0350.02
w0351,w0212.01
w0352,w0335.01
w0353,w0353.01
w0354,w0274.02
w0355,w0201.01
w0356,w0333.01
w0357,w0039.01
w0357,w0288.01
w0358,w0346.02
w0358,w0358.01
w0359,w0358.01
w0359,w0359.02
w0360,w0358.01
w0361,w0300.02
w0362,w0362.01
w0362,w0362.02
w0363,w0224.01
w0363,w0363.02
w0364,w0224.01
w0364,w0225.01
w0365,w0225.01
w0366,w0179.01
w0367,w0367.01
w0367,w0367.02
w0368,w0107.01
w0368,w0144.01
w0369,w0226.01
w0369,w0369.01
w0370,w0370.01
w0371,w0371.01
w0372,w0021.01
w0373,w0218.02
w0374,w0374.01
w0374,w0374.02
w0375,w0375.01
w0376,w0151.01
w0376,w0376.01
w0377,w0377.01
w0377,w0377.02
w0378,w0039.01
w0378,w0378.02
w0379,w0379.01
w0380,w0380.01
w0381,w0067.01
w0381,w0303.02
w0382,w0304.01
w0382,w0340.02
w0383,w0370.01
w0383,w0383.02
w0384,w0384.01
w0384,w0384.02
w0385,w0226.01
w0386,w0226.01
w0387,w0212.01
w0388,w0319.01
w0388,w0388.02
w0389,w0389.01
w0389,w0389.02
w0390,w0389.01
w0390,w0389.02
w0391,w0391.01
w0392,w0392.01
w0393,w0201.01
w0393,w0393.01
w0394,w0371.01
w0395,w0201.01
w0396,w0396.01
w0396,w0396.02
w0397,w0397.01
w0398,w0022.01
w0398,w0180.01
w0399,w0393.01
w0400,w0225.01
w0401,w0051.01
w0401,w0162.01
w0402,w0402.01
w0403,w0201.01
w0404,w0253.01
w0404,w0274.02
w0405,w0028.01
w0405,w0144.01
w0406,w0406.01
w0406,w0406.02
w0407,w0287.01
w0407,w0407.02
w0408,w0300.02
w0409,w0269.01
w0409,w0409.02
w0410,w0410.01
w0411,w0319.01
w0412,w0335.01
w0413,w0188.01
w0413,w0201.01
w0414,w0015.01
w0415,w0415.01
w0415,w0415.02
w0416,w0115.01
w0416,w0219.02
w0417,w0022.01
w0417,w0417.01
w0418,w0300.02
w0419,w0208.02
w0419,w0419.02
w0420,w0286.01
w0421,w0421.01
w0422,w0201.01
w0423,w0358.01
w0424,w0424.01
w0425,w0425.01
w0426,w0426.01
w0427,w0300.02
w0428,w0324.02
w0429,w0287.01
w0429,w0290.02
w0430,w0430.01
w0431,w0329.02
w0432,w0326.01
w0433,w0329.02
w0434,w0434.01
w0435,w0201.01
w0436,w0151.01
w0436,w0436.01
w0436,w0436.03
w0437,w0079.01
w0438,w0344.01
w0438,w0346.02
w0439,w0426.01
w0440,w0392.01
w0441,w0039.01
w0441,w0378.02
w0442,w0218.02
w0443,w0326.01
w0444,w0444.01
w0445,w0274.02
w0445,w0362.02
w0446,w0225.01
w0447,w0370.01
w0448,w0201.01
w0449,w0079.01
w0450,w0287.01
w0451,w0451.01
w0452,w0287.01
w0453,w0188.01
w0453,w0343.03
w0454,w0022.01
w0454,w0180.01
w0454,w0451.01
w0455,w0300.02
w0456,w0089.01
w0457,w0253.01
w0458,w0179.01
w0459,w0300.02
w0460,w0067.01
w0461,w0164.01
w0462,w0079.01
w0462,w0462.01
w0463,w0286.01
w0464,w0067.01
w0465,w0324.02
w0466,w0164.01
w0467,w0337.02
w0468,w0324.02
w0469,w0406.02
w0470,w0470.01
w0471,w0471.01
w0471,w0471.02
w0472,w0311.01
w0473,w0311.01
w0474,w0407.02
w0475,w0164.01
w0476,w0287.01
w0476,w0476.02
w0477,w0201.01
w0478,w0415.01
w0478,w0415.02
w0479,w0039.01
w0479,w0479.01
w0480,w0480.01
w0481,w0481.01
w0481,w0481.02
w0482,w0008.02
w0482,w0176.01
w0483,w0253.01
w0484,w0484.01
w0485,w0485.01
w0486,w0020.01
w0487,w0337.02
w0487,w0487.01
w0488,w0067.01
w0489,w0430.01
w0490,w0326.01
w0491,w0188.01
w0491,w0253.01
w0492,w0391.01
w0493,w0311.01
w0494,w0485.01
w0495,w0253.01
w0495,w0319.01
w0496,w0188.01
w0497,w0319.01
w0497,w0497.01
w0498,w0424.01
w0498,w0498.02
w0499,w0151.01
w0500,w0500.01
w0500,w0500.02
w0501,w0500.01
w0501,w0501.01
w0502,w0502.01
w0503,w0425.01
w0504,w0298.01
w0505,w0226.01
w0505,w0505.01
w0506,w0505.01
w0507,w0505.01
w0508,w0201.01
w0508,w0508.01
w0509,w0201.01
w0509,w0509.02
